time_index,mean,std,p05,p25,p50,p75,p95,actual
292,279.3742,1.3076085,277.28384,278.45947,279.4621,280.35632,281.31897,284.34561
293,279.58206,1.3272464,277.45648,278.65082,279.6704,280.5755,281.5546,284.61926
294,279.7893,1.3460232,277.63083,278.8432,279.8792,280.79318,281.7886,284.88278999999994
295,279.99582,1.363862,277.80682,279.03644,280.0909,281.0091,282.0207,285.13554
296,280.20142,1.3806713,277.9845,279.23053,280.3025,281.22302,282.2506,285.37683
297,280.40588,1.3963909,278.16382,279.4255,280.51416,281.43472,282.47815,285.606
298,280.60907,1.4109397,278.34485,279.62122,280.72583,281.64392,282.70306,285.82546
299,280.81085,1.4242586,278.52756,279.81778,280.93747,281.85043,282.92514,286.0383
300,281.01126,1.4363234,278.71213,280.0152,281.1491,282.05426,283.14432,286.24487
301,281.21036,1.4471265,278.8987,280.21368,281.36093,282.25555,283.36072,286.44553
302,281.4084,1.456702,279.08755,280.41342,281.57312,282.45447,283.5746,286.64062
303,281.60568,1.4651089,279.27884,280.61465,281.78595,282.6515,283.7862,286.8305
304,281.8026,1.4724456,279.47275,280.81772,281.9997,282.84702,283.99603,287.01552
305,281.9996,1.4788325,279.66956,281.02283,282.21466,283.04163,284.20468,287.19604
306,282.19693,1.4843637,279.86926,281.23013,282.42514,283.23566,284.4125,287.3724
307,282.3947,1.4891024,280.07184,281.43756,282.63232,283.42926,284.61966,287.54496
308,282.59293,1.4930964,280.2772,281.64532,282.84058,283.6225,284.82614,287.71408
309,282.79166,1.496409,280.4853,281.85486,283.05,283.81546,285.0321,287.8801
310,282.99097,1.4990993,280.696,282.06607,283.25604,284.0083,285.2377,288.04338
311,283.19092,1.501209,280.90936,282.27902,283.45364,284.20105,285.44296,288.20427
312,283.3915,1.5028061,281.12527,282.4846,283.65198,284.39386,285.648,288.36312
313,283.5929,1.503933,281.34366,282.681,283.851,284.5902,285.85297,288.52029
314,283.795,1.5046448,281.5568,282.87152,284.0509,284.79144,286.0579,288.67612
315,283.99802,1.5049922,281.7546,283.06287,284.229,284.99332,286.2629,288.83098
316,284.20187,1.5050241,281.95303,283.255,284.40686,285.1985,286.4681,288.98521
317,284.4067,1.5047754,282.1532,283.4453,284.58533,285.4195,286.67358,289.13917
318,284.61255,1.5043032,282.35052,283.6275,284.7645,285.63028,286.8795,289.2932
319,284.81946,1.5036442,282.54944,283.81058,284.94455,285.85327,287.0859,289.44767
320,285.02747,1.502831,282.7501,283.99466,285.1256,286.05914,287.2929,289.60292
321,285.2367,1.5019019,282.9525,284.17987,285.30786,286.2569,287.48663,289.75931
322,285.4471,1.5008912,283.1567,284.36633,285.4934,286.4557,287.67535,289.91719
